y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.5,40.0,2011.0,75.0,18.0,12.0,46.0
3.5,155.0,2011.0,72.0,56.0,12.0,18.0
3.0,363.0,2012.0,70.0,56.0,12.0,37.0
3.0,337.0,2015.0,67.0,2.0,8.0,46.0
3.75,111.0,2014.0,70.0,56.0,12.0,18.0
3.0,107.0,2016.0,72.0,56.0,11.0,68.0
3.0,139.0,2015.0,79.0,30.0,12.0,67.0
3.5,288.0,2014.0,70.0,14.0,12.0,19.0
2.5,88.0,2014.0,70.0,7.0,6.0,40.0
3.0,287.0,2012.0,65.0,39.0,12.0,46.0
3.5,332.0,2015.0,70.0,10.0,12.0,12.0
3.5,314.0,2015.0,85.0,56.0,12.0,19.0
3.0,142.0,2008.0,72.0,56.0,6.0,67.0
3.25,341.0,2016.0,75.0,36.0,12.0,52.0
3.0,399.0,2012.0,70.0,3.0,6.0,46.0
3.0,125.0,2013.0,100.0,29.0,6.0,67.0
2.5,64.0,2016.0,75.0,56.0,6.0,67.0
3.5,398.0,2011.0,68.0,2.0,12.0,3.0
2.75,126.0,2015.0,77.0,55.0,6.0,37.0
3.25,366.0,2012.0,65.0,56.0,8.0,10.0
2.75,167.0,2011.0,72.0,56.0,12.0,63.0
2.5,34.0,2015.0,76.0,56.0,12.0,12.0
3.25,100.0,2010.0,70.0,1.0,12.0,67.0
3.75,301.0,2014.0,70.0,56.0,12.0,67.0
3.5,58.0,2015.0,70.0,30.0,11.0,68.0
3.0,297.0,2006.0,72.0,4.0,6.0,32.0
3.5,112.0,2011.0,60.0,22.0,12.0,27.0
3.25,215.0,2014.0,65.0,56.0,12.0,29.0
3.25,305.0,2013.0,75.0,6.0,12.0,4.0
3.25,297.0,2015.0,70.0,4.0,8.0,6.0
3.5,18.0,2016.0,70.0,56.0,12.0,27.0
3.25,310.0,2015.0,80.0,56.0,12.0,46.0
4.0,379.0,2012.0,69.0,18.0,12.0,67.0
4.0,343.0,2015.0,75.0,7.0,12.0,67.0
3.5,125.0,2006.0,70.0,29.0,11.0,67.0
3.25,12.0,2013.0,72.0,39.0,12.0,46.0
1.0,104.0,2006.0,70.0,4.0,12.0,63.0
3.5,215.0,2013.0,70.0,56.0,12.0,29.0
3.5,212.0,2012.0,68.0,56.0,6.0,3.0
2.75,129.0,2012.0,82.0,18.0,11.0,37.0
3.75,69.0,2015.0,70.0,56.0,6.0,16.0
3.5,203.0,2011.0,68.0,18.0,11.0,25.0
3.5,238.0,2011.0,70.0,56.0,11.0,2.0
3.0,232.0,2016.0,70.0,39.0,12.0,46.0
2.5,21.0,2012.0,70.0,2.0,3.0,63.0
3.0,360.0,2015.0,70.0,30.0,12.0,9.0
2.75,110.0,2015.0,70.0,55.0,12.0,41.0
2.5,310.0,2015.0,70.0,56.0,12.0,46.0
3.0,242.0,2014.0,70.0,56.0,12.0,41.0
3.75,35.0,2008.0,68.0,56.0,12.0,18.0
3.5,344.0,2014.0,70.0,56.0,12.0,29.0
3.0,403.0,2013.0,72.0,7.0,11.0,19.0
3.0,179.0,2011.0,80.0,55.0,8.0,19.0
2.5,389.0,2011.0,72.0,36.0,8.0,23.0
3.5,117.0,2007.0,77.0,56.0,11.0,12.0
3.5,357.0,2013.0,70.0,24.0,6.0,37.0
3.0,35.0,2008.0,71.0,56.0,11.0,37.0
3.75,227.0,2012.0,74.0,56.0,12.0,18.0
2.75,403.0,2013.0,72.0,7.0,12.0,18.0
3.5,57.0,2010.0,77.0,50.0,12.0,67.0
3.25,240.0,2014.0,70.0,56.0,11.0,2.0
3.0,127.0,2011.0,72.0,55.0,12.0,44.0
2.75,282.0,2011.0,85.0,7.0,12.0,7.0
3.75,326.0,2007.0,75.0,56.0,12.0,67.0
3.25,238.0,2011.0,73.0,56.0,12.0,18.0
3.0,286.0,2006.0,60.0,56.0,12.0,29.0
3.5,191.0,2013.0,70.0,13.0,12.0,18.0
3.75,35.0,2010.0,70.0,56.0,3.0,17.0
2.75,353.0,2013.0,67.0,56.0,11.0,37.0
2.75,364.0,2015.0,70.0,56.0,12.0,46.0
3.5,44.0,2015.0,70.0,56.0,12.0,27.0
2.75,22.0,2015.0,70.0,39.0,12.0,46.0
2.5,178.0,2014.0,72.0,48.0,12.0,19.0
3.0,342.0,2013.0,70.0,56.0,12.0,67.0
3.5,391.0,2010.0,72.0,55.0,12.0,67.0
3.5,14.0,2007.0,63.0,29.0,3.0,63.0
3.25,209.0,2015.0,70.0,56.0,12.0,3.0
2.75,268.0,2015.0,72.0,56.0,11.0,18.0
3.5,159.0,2015.0,75.0,19.0,11.0,37.0
2.5,127.0,2010.0,70.0,55.0,12.0,19.0
2.75,0.0,2013.0,70.0,18.0,12.0,9.0
3.5,260.0,2015.0,70.0,56.0,12.0,41.0
4.0,43.0,2014.0,70.0,56.0,11.0,67.0
3.25,111.0,2011.0,70.0,56.0,12.0,57.0
3.0,238.0,2011.0,70.0,56.0,11.0,67.0
2.75,35.0,2010.0,65.0,56.0,12.0,32.0
3.5,314.0,2015.0,70.0,56.0,3.0,63.0
4.0,31.0,2013.0,73.0,4.0,11.0,19.0
2.5,275.0,2010.0,70.0,56.0,11.0,34.0
3.5,8.0,2017.0,70.0,35.0,6.0,41.0
2.75,347.0,2017.0,70.0,56.0,12.0,46.0
3.25,401.0,2015.0,70.0,56.0,12.0,46.0
2.75,206.0,2014.0,70.0,18.0,12.0,13.0
3.75,326.0,2009.0,68.0,56.0,12.0,4.0
3.0,191.0,2013.0,82.0,13.0,12.0,18.0
3.25,357.0,2012.0,70.0,24.0,12.0,18.0
