y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.5,343.0,2016.0,70.0,7.0,8.0,4.0
4.0,326.0,2012.0,78.0,56.0,12.0,46.0
3.25,343.0,2013.0,70.0,7.0,12.0,63.0
3.75,112.0,2012.0,70.0,22.0,12.0,27.0
3.5,180.0,2014.0,70.0,7.0,12.0,18.0
3.5,379.0,2013.0,70.0,18.0,12.0,63.0
3.25,289.0,2015.0,70.0,7.0,12.0,3.0
3.0,272.0,2012.0,70.0,38.0,12.0,41.0
3.25,185.0,2014.0,72.0,56.0,12.0,18.0
3.25,25.0,2016.0,65.0,56.0,12.0,19.0
3.75,301.0,2010.0,82.0,56.0,9.0,12.0
2.5,176.0,2009.0,80.0,14.0,8.0,19.0
2.75,267.0,2006.0,75.0,4.0,8.0,51.0
2.75,18.0,2015.0,75.0,56.0,12.0,4.0
3.75,297.0,2007.0,72.0,4.0,8.0,19.0
3.25,334.0,2011.0,65.0,29.0,8.0,51.0
3.75,364.0,2015.0,70.0,56.0,11.0,37.0
4.0,33.0,2011.0,72.0,54.0,12.0,19.0
3.5,142.0,2009.0,81.0,56.0,6.0,67.0
2.5,265.0,2014.0,73.5,56.0,11.0,37.0
3.75,337.0,2015.0,70.0,2.0,11.0,67.0
3.5,175.0,2016.0,66.0,36.0,6.0,46.0
3.5,318.0,2013.0,70.0,56.0,11.0,37.0
2.75,279.0,2015.0,70.0,56.0,11.0,60.0
2.5,50.0,2014.0,75.0,29.0,12.0,13.0
2.5,91.0,2015.0,65.0,56.0,11.0,40.0
3.0,84.0,2016.0,80.0,56.0,6.0,67.0
3.25,357.0,2015.0,88.0,24.0,11.0,13.0
3.0,200.0,2012.0,75.0,56.0,11.0,67.0
3.75,20.0,2016.0,68.0,56.0,11.0,57.0
3.0,292.0,2014.0,70.0,56.0,12.0,3.0
2.5,7.0,2013.0,75.0,18.0,11.0,67.0
2.75,238.0,2011.0,81.0,56.0,11.0,67.0
3.25,60.0,2015.0,74.0,57.0,12.0,67.0
4.0,288.0,2014.0,70.0,14.0,12.0,19.0
3.75,18.0,2016.0,70.0,56.0,12.0,41.0
2.0,326.0,2006.0,70.0,56.0,11.0,34.0
3.5,57.0,2016.0,70.0,50.0,6.0,10.0
3.5,68.0,2016.0,65.0,9.0,11.0,9.0
3.25,168.0,2014.0,66.0,7.0,12.0,29.0
3.75,0.0,2016.0,63.0,18.0,12.0,51.0
3.0,206.0,2015.0,75.0,18.0,12.0,33.0
2.75,217.0,2010.0,46.0,9.0,12.0,9.0
3.5,25.0,2016.0,65.0,56.0,12.0,16.0
2.75,134.0,2012.0,72.0,56.0,8.0,46.0
3.5,69.0,2014.0,76.0,56.0,6.0,9.0
2.75,155.0,2011.0,74.0,56.0,11.0,37.0
3.25,65.0,2008.0,55.0,14.0,8.0,19.0
3.5,209.0,2015.0,70.0,56.0,11.0,60.0
2.75,386.0,2015.0,77.0,56.0,11.0,27.0
2.5,395.0,2017.0,70.0,56.0,12.0,18.0
2.75,150.0,2016.0,70.0,43.0,12.0,16.0
2.0,53.0,2007.0,72.0,18.0,12.0,67.0
3.0,103.0,2010.0,72.0,19.0,11.0,60.0
2.75,175.0,2016.0,70.0,36.0,11.0,37.0
3.5,337.0,2015.0,65.0,2.0,12.0,45.0
2.75,121.0,2011.0,75.0,56.0,6.0,67.0
3.0,396.0,2015.0,70.0,56.0,12.0,45.0
2.75,100.0,2008.0,80.0,1.0,11.0,67.0
3.5,22.0,2015.0,70.0,39.0,12.0,46.0
3.25,378.0,2014.0,65.0,29.0,11.0,67.0
2.75,42.0,2014.0,70.0,56.0,12.0,18.0
